representation,predictor,explainer,control,seed,row_id,dataset,predictive_test_r2,average_precision,prevalence,normalized_ap_lift,supported_atom_fraction,rationale_supported_fraction,mean_randomized_nap,randomized_nap_sd,randomization_replicates,randomization_calibrated_nap
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2264,CHEMBL234_Ki,0.975134853316404,1.0,0.04,1.0,0.4,1.0,0.3541666666666667,0.5601804024895314,3,0.6458333333333333
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2277,CHEMBL234_Ki,0.975134853316404,1.0,0.0666666666666666,1.0,0.7,1.0,0.03741496598639456,0.06480462205189677,3,0.9625850340136054
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2282,CHEMBL234_Ki,0.975134853316404,1.0,0.064516129032258,1.0,0.7096774193548387,1.0,0.17587575259989052,0.2807471064285423,3,0.8241242474001095
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2425,CHEMBL234_Ki,0.975134853316404,1.0,0.0344827586206896,1.0,0.6896551724137931,1.0,0.03741496598639455,0.06480462205189677,3,0.9625850340136054
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2429,CHEMBL234_Ki,0.975134853316404,1.0,0.037037037037037,1.0,0.6666666666666666,1.0,0.04487179487179487,0.07772022854475731,3,0.9551282051282052
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2464,CHEMBL234_Ki,0.975134853316404,1.0,0.032258064516129,1.0,0.7096774193548387,1.0,0.3333333333333333,0.5773502691896258,3,0.6666666666666667
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2482,CHEMBL234_Ki,0.975134853316404,1.0,0.0303030303030303,1.0,0.696969696969697,1.0,0.009803921568627449,0.01698089027028311,3,0.9901960784313726
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2520,CHEMBL234_Ki,0.975134853316404,0.1175213675213675,0.0833333333333333,0.0372960372960373,0.75,1.0,0.11765427554901241,0.20378318297859813,3,-0.08035823825297511
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:2865,CHEMBL234_Ki,0.975134853316404,1.0,0.0294117647058823,1.0,0.7352941176470589,1.0,0.03896103896103895,0.06748249899619002,3,0.961038961038961
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:3004,CHEMBL234_Ki,0.975134853316404,0.1814141414141414,0.088235294117647,0.1021961550993809,1.0,1.0,0.1197787427626137,0.2074628681315699,3,-0.0175825876632328
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:3030,CHEMBL234_Ki,0.975134853316404,0.2563352826510721,0.088235294117647,0.1843677293592403,0.7647058823529411,1.0,-0.0013620671054051159,0.0024021198774410563,3,0.18572979646464544
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:3040,CHEMBL234_Ki,0.975134853316404,0.4399999999999999,0.088235294117647,0.3858064516129031,0.7647058823529411,1.0,0.04855155534272682,0.08835627361695535,3,0.3372548962701763
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:3089,CHEMBL234_Ki,0.975134853316404,0.1243606138107416,0.09375,0.0337772290325425,0.78125,1.0,0.276528402465434,0.357450389019271,3,-0.2427511734328915
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:3093,CHEMBL234_Ki,0.975134853316404,0.1504884004884005,0.0833333333333333,0.0732600732600732,0.8055555555555556,1.0,0.0328930328930329,0.05697240418576728,3,0.040367040367040294
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:3095,CHEMBL234_Ki,0.975134853316404,0.2140522875816993,0.0833333333333333,0.142602495543672,1.0,1.0,0.12961548255665903,0.22450060123569102,3,0.012987012987012964
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:3100,CHEMBL234_Ki,0.975134853316404,0.1230019493177387,0.0789473684210526,0.0478306878306878,1.0,1.0,0.002896876076952706,0.005017536548512895,3,0.04493381175373509
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:3196,CHEMBL234_Ki,0.975134853316404,1.0,0.0256410256410256,1.0,0.7692307692307693,1.0,0.3394355453852021,0.572138822539812,3,0.660564454614798
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:3213,CHEMBL234_Ki,0.975134853316404,1.0,0.0263157894736842,1.0,0.7631578947368421,1.0,0.015444015444015443,0.02674981942191316,3,0.9845559845559846
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:3330,CHEMBL234_Ki,0.975134853316404,1.0,0.0294117647058823,1.0,0.6764705882352942,1.0,0.004830917874396135,0.00836739520564675,3,0.9951690821256038
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:3441,CHEMBL234_Ki,0.975134853316404,1.0,0.0344827586206896,1.0,0.7931034482758621,1.0,0.0031055900621118006,0.0053790397750586244,3,0.9968944099378882
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:3612,CHEMBL234_Ki,0.975134853316404,1.0,0.0357142857142857,1.0,1.0,1.0,0.019079685746352413,0.0330469851051301,3,0.9809203142536476
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:3613,CHEMBL234_Ki,0.975134853316404,1.0,0.0344827586206896,1.0,1.0,1.0,0.004535147392290249,0.007855105703260213,3,0.9954648526077098
