dataset,row_id,representation,predictor,seed,label_permuted,trained,trained_minus_permuted_r2
CHEMBL1862_Ki,CHEMBL1862_Ki:533,morgan,xgboost,42,0.9805469654569544,0.9788428168998669,-0.0017041485570875592
CHEMBL1862_Ki,CHEMBL1862_Ki:533,unimol,mlp,11,0.9404381724613208,0.931258407267101,-0.009179765194219813
CHEMBL1862_Ki,CHEMBL1862_Ki:533,unimol,mlp,23,0.960631658546776,0.9117850155143364,-0.048846643032439574
CHEMBL1862_Ki,CHEMBL1862_Ki:533,unimol,mlp,42,0.9253713232371452,0.9229144200077358,-0.0024569032294093907
CHEMBL1862_Ki,CHEMBL1862_Ki:533,unimol,xgboost,11,0.946024556111285,0.9611766706195964,0.015152114508311443
CHEMBL1862_Ki,CHEMBL1862_Ki:533,unimol,xgboost,23,0.9585235181029396,0.9312655494737972,-0.027257968629142315
CHEMBL1862_Ki,CHEMBL1862_Ki:533,unimol,xgboost,42,0.9535602024998672,0.9531219986989128,-0.00043820380095438427
CHEMBL1862_Ki,CHEMBL1862_Ki:576,molformer,mlp,11,0.9143815500390112,0.9076535387396582,-0.006728011299353076
CHEMBL1862_Ki,CHEMBL1862_Ki:576,molformer,mlp,23,0.8944071137519242,0.9143153102109776,0.019908196459053396
CHEMBL1862_Ki,CHEMBL1862_Ki:576,molformer,mlp,42,0.9210709972562904,0.9049131728061784,-0.016157824450111935
CHEMBL1862_Ki,CHEMBL1862_Ki:576,molformer,xgboost,11,0.929486242389223,0.9275762260952056,-0.0019100162940173249
CHEMBL1862_Ki,CHEMBL1862_Ki:576,molformer,xgboost,23,0.9389116707907664,0.925915548659968,-0.012996122130798482
CHEMBL1862_Ki,CHEMBL1862_Ki:576,molformer,xgboost,42,0.930501950797603,0.9171583886259,-0.01334356217170296
CHEMBL1862_Ki,CHEMBL1862_Ki:576,morgan,mlp,11,0.9357733640938424,0.9074494588116792,-0.02832390528216322
CHEMBL1862_Ki,CHEMBL1862_Ki:576,morgan,mlp,23,0.9130528366602028,0.9306711798356964,0.0176183431754936
CHEMBL1862_Ki,CHEMBL1862_Ki:576,morgan,mlp,42,0.9306766108689468,0.9082043875599096,-0.022472223309037198
CHEMBL1862_Ki,CHEMBL1862_Ki:576,morgan,xgboost,11,0.0,0.925208744740174,0.925208744740174
CHEMBL1862_Ki,CHEMBL1862_Ki:576,morgan,xgboost,23,0.9781406077606624,0.9451357324542604,-0.03300487530640195
CHEMBL1862_Ki,CHEMBL1862_Ki:576,morgan,xgboost,42,0.9082650517800396,0.9484013209496388,0.040136269169599226
