dataset,component_id,representation,predictor,explainer,seed,label_permuted,trained,matched_seed_delta
CHEMBL1862_Ki,25,molformer,xgboost,crem_lime,11,0.1521563008579721,-0.2330228282464533,-0.3851791291044254
CHEMBL1862_Ki,25,molformer,xgboost,crem_lime,23,-0.0194638032013771,-0.0967276953865289,-0.0772638921851518
CHEMBL1862_Ki,25,molformer,xgboost,crem_lime,42,-0.405570500299412,-0.2948113184074101,0.1107591818920019
CHEMBL1862_Ki,25,molformer,xgboost,crem_mean,11,-0.0481462875005066,-0.02379310536744,0.024353182133066597
CHEMBL1862_Ki,25,molformer,xgboost,crem_mean,23,-0.0620264482604634,0.0243686362725642,0.0863950845330276
CHEMBL1862_Ki,25,molformer,xgboost,crem_mean,42,-0.0071712257681921,-0.0839628043445249,-0.0767915785763328
CHEMBL1862_Ki,25,morgan,mlp,crem_lime,11,0.181541095098739,-0.222896794693489,-0.404437889792228
CHEMBL1862_Ki,25,morgan,mlp,crem_lime,23,-0.6158136511590093,-0.4932408550076296,0.12257279615137973
CHEMBL1862_Ki,25,morgan,mlp,crem_lime,42,-0.1373605058979068,-0.2886447561983941,-0.15128425030048728
CHEMBL1862_Ki,25,morgan,mlp,crem_mean,11,-0.6238281302859303,-0.3879820853645469,0.2358460449213834
CHEMBL1862_Ki,25,morgan,mlp,crem_mean,23,-0.2554524810178334,-0.5834101458634772,-0.32795766484564376
