dataset,representation,predictor,explainer,permutations,mean_of_permutation_medians,sd_of_permutation_medians,median_of_permutation_medians,q25_of_permutation_medians,q75_of_permutation_medians,minimum_permutation_median,maximum_permutation_median
CHEMBL231_Ki,molformer,mlp,crem_lime,10,0.1285829187534129,0.0783964262754179,0.1354337326881619,0.0774881971797377,0.16600655651275253,-0.0018856024807201,0.2586134466020943
CHEMBL231_Ki,molformer,mlp,crem_mean,10,0.07778181722994405,0.0707137388057215,0.053003852016643954,0.03126248215154595,0.10285761134879577,-0.0118197278911564,0.2209014104175394
CHEMBL231_Ki,molformer,xgboost,crem_lime,10,0.09337194621221527,0.05045577933640955,0.09649214349435105,0.07531445122818035,0.11089526160638,0.0034521766266188,0.1967451798847147
CHEMBL231_Ki,molformer,xgboost,crem_mean,10,0.09058662770056615,0.04737531653674663,0.0690090080916693,0.0660976711850988,0.1105110620481515,0.0399656639703404,0.1744247205785667
CHEMBL231_Ki,morgan,mlp,crem_lime,10,0.1403787791344953,0.07692457023555074,0.15109128588695486,0.11224664485936192,0.20650824945673116,0.0072213916144148,0.2152957996924259
CHEMBL231_Ki,morgan,mlp,crem_mean,10,0.1711981084988318,0.05763956615794306,0.17157471127986074,0.13646866482518452,0.1933191902572902,0.0822972792482774,0.2626580106474407
CHEMBL231_Ki,morgan,xgboost,crem_lime,10,0.13580256292774467,0.06452756488867437,0.13146682219650674,0.10909237364532262,0.1770657245456322,0.0043651576118254,0.233815009922039
CHEMBL231_Ki,morgan,xgboost,crem_mean,10,0.07440930107359968,0.07478348363552387,0.0833333333333333,0.0,0.10782342657342653,0.0,0.1899894124088428
CHEMBL231_Ki,unimol,mlp,crem_lime,10,0.10054066298964455,0.0725200161364272,0.08759355996255619,0.04903482190281233,0.14135238562660307,-0.0021646319431741,0.2452684864182613
CHEMBL231_Ki,unimol,mlp,crem_mean,10,0.09436451087172058,0.0437315919670657,0.09235298350040624,0.05805546695506125,0.1308171098917564,0.0338596961778701,0.1638839020048107
CHEMBL231_Ki,unimol,xgboost,crem_lime,10,0.07709191819992917,0.05965390563399491,0.0664303253551544,0.04123362334294047,0.09093199772261537,0.0023871787798106,0.2164951225372646
CHEMBL231_Ki,unimol,xgboost,crem_mean,10,0.09829572762892555,0.04825547699803937,0.0828546425141143,0.07145439805606653,0.10636178579890543,0.0443993689429795,0.2037623643207282
CHEMBL233_Ki,molformer,mlp,crem_lime,10,0.09735400377033503,0.034214300938531235,0.08768954504415293,0.08345314863244818,0.11251125319461237,0.05215506803018305,0.16777446036043886
CHEMBL233_Ki,molformer,mlp,crem_mean,10,0.0976498482078578,0.029997561876329713,0.09543722299163705,0.08758630836133594,0.11811871346597125,0.0481567160803602,0.137116927375652
CHEMBL233_Ki,molformer,xgboost,crem_lime,10,0.09528591055878016,0.02281880824155256,0.09337608875089926,0.07642244664778762,0.10771890403514035,0.06945776335896085,0.1380590835158122
CHEMBL233_Ki,molformer,xgboost,crem_mean,10,0.11437401513438576,0.03521492073732237,0.12805046778602702,0.10111285999433083,0.13221666977343977,0.045187413423030454,0.15434928601579384
CHEMBL233_Ki,morgan,mlp,crem_lime,10,0.13947911025781493,0.0692746744156748,0.14560672989078663,0.0789517762417877,0.18177644443635665,0.0349394283530796,0.24215521613579394
CHEMBL233_Ki,morgan,mlp,crem_mean,10,0.1587107420261328,0.035604576706600444,0.15598845921887208,0.13940423993426726,0.18160466501695452,0.10693766374482219,0.2095569433257602
CHEMBL233_Ki,morgan,xgboost,crem_lime,10,0.07057399595374911,0.061191495258189364,0.059562054040101,0.03573884628538161,0.08707958950568136,0.00065417832406625,0.21815929759645886
CHEMBL233_Ki,morgan,xgboost,crem_mean,10,0.05177402529574091,0.058205190321940214,0.033527626176191726,0.0,0.08521247737449494,0.0,0.15009364093594896
CHEMBL233_Ki,unimol,mlp,crem_lime,10,0.14728945666413318,0.05308333010419531,0.14314659017412873,0.10295672100484109,0.1677178629667528,0.08814301210392245,0.2558177328935831
CHEMBL233_Ki,unimol,mlp,crem_mean,10,0.11084733645627606,0.02115965284796634,0.10959198705822726,0.0930805477483345,0.12513684492549634,0.08123478961477054,0.1427184089023064
