dataset,representation,predictor,permutation_id,permutation_seed,test_pairs,spearman_true_predicted_delta,spearman_defined,direction_accuracy,delta_mae,delta_rmse,median_absolute_predicted_delta
CHEMBL219_Ki,unimol,xgboost,42,20268944,34,-0.10291036296860813,True,0.14705882352941177,1.7712673209113998,1.8703929549594003,0.0
CHEMBL219_Ki,unimol,xgboost,43,20268945,34,0.12788388082505728,True,0.5294117647058824,1.7498642536591846,1.856499848761605,0.05151242017745965
CHEMBL219_Ki,unimol,xgboost,44,20268946,34,-0.25843540837577517,True,0.23529411764705882,1.7795738382319204,1.8783946696193146,0.0158209800720214
CHEMBL219_Ki,unimol,xgboost,45,20268947,34,-0.09365928189457601,True,0.5,1.7584722162114235,1.873120604946868,0.08115178346633906
CHEMBL219_Ki,unimol,xgboost,46,20268948,34,-0.2614409053393725,True,0.38235294117647056,1.7839076954596946,1.8839168807535758,0.01966369152069085
CHEMBL219_Ki,unimol,xgboost,47,20268949,34,-0.010699274758955702,True,0.35294117647058826,1.772681521750274,1.8713341467764493,0.0345028638839721
CHEMBL219_Ki,unimol,xgboost,48,20268950,34,0.2818092542572219,True,0.47058823529411764,1.7622819803161545,1.8617025508599918,0.02472889423370355
CHEMBL219_Ki,unimol,xgboost,49,20268951,34,-0.2981717756725533,True,0.2647058823529412,1.7763161709148105,1.878996989864599,0.019922196865081752
CHEMBL219_Ki,unimol,xgboost,50,20268952,34,-0.3225609299657599,True,0.3235294117647059,1.7835803257136549,1.884107223390805,0.032800555229186956
CHEMBL219_Ki,unimol,xgboost,51,20268953,34,0.10832696715049654,True,0.6176470588235294,1.7335619275128904,1.8518909676564508,0.08970618247985834
CHEMBL228_Ki,molformer,mlp,42,20269944,31,-0.2923387096774194,True,0.3225806451612903,2.0091641420067754,2.1630638666182502,0.0588072538375854
CHEMBL228_Ki,molformer,mlp,43,20269945,31,-0.24233870967741936,True,0.4838709677419355,1.984085203153419,2.143107948752643,0.054203987121582
