scenario,rationale,explainer,dataset,component_id,representation,predictor,trained_nap,trained_ap,trained_prevalence,permuted_nap,permuted_ap,permuted_prevalence,delta_nap_rescore,delta_nap_reference,rescore_minus_reference_delta_nap
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,168,molformer,mlp,0.3918936246053697,0.5621634097158662,0.28,0.5397607762795004,0.6686277589212403,0.28,-0.14786715167413067,-0.14786715167413067,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,168,molformer,xgboost,0.22126871711493315,0.4393134763227519,0.28,0.2700571390375976,0.4744411401070703,0.28,-0.04878842192266444,-0.04878842192266444,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,168,morgan,mlp,0.12141976403556147,0.36742223010560426,0.28,0.542392783480685,0.6705228041060932,0.28,-0.4209730194451235,-0.42097301944512355,5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,168,morgan,xgboost,-0.098976141294507,0.208737178267955,0.28,0.6656974484871906,0.7593021629107772,0.28,-0.7646735897816976,-0.7646735897816975,-1.1102230246251565e-16
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,168,unimol,mlp,0.4077419264295304,0.5735741870292619,0.28,0.24043596117179955,0.4531138920436957,0.28,0.16730596525773084,0.16730596525773087,-2.7755575615628914e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,168,unimol,xgboost,0.15581535647229577,0.39218705666005294,0.28,0.3769577736610305,0.551409597035942,0.28,-0.22114241718873473,-0.22114241718873476,2.7755575615628914e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,169,molformer,mlp,0.3252424601407947,0.49644959711999603,0.2537313432835821,0.6241084093543504,0.7194838875778733,0.2537313432835821,-0.2988659492135557,-0.29886594921355575,5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,169,molformer,xgboost,0.5818163776113335,0.6879226698592041,0.2537313432835821,0.43109958911601426,0.5754474545641898,0.2537313432835821,0.15071678849531928,0.1507167884953194,-1.1102230246251565e-16
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,169,morgan,mlp,0.07691599359222291,0.3111313385016589,0.2537313432835821,0.19879077452519214,0.40208266755611355,0.2537313432835821,-0.12187478093296923,-0.12187478093296922,-1.3877787807814457e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,169,morgan,xgboost,-0.12799071148532756,0.1582158869512481,0.2537313432835821,0.0798592368825729,0.313327788718338,0.2537313432835821,-0.20784994836790047,-0.20784994836790038,-8.326672684688674e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,169,unimol,mlp,0.36591041165597177,0.5267988146686357,0.2537313432835821,0.04274862506487404,0.28563330228721945,0.2537313432835821,0.32316178659109773,0.32316178659109773,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,169,unimol,xgboost,0.25753283333297017,0.4459200248753508,0.2537313432835821,0.3684144384322779,0.5286674913673716,0.2537313432835821,-0.11088160509930772,-0.11088160509930778,5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,171,molformer,mlp,0.03040102062115883,0.1729891058239296,0.14705882352941177,-0.012165178985668568,0.13668264145340034,0.14705882352941177,0.0425661996068274,0.0425661996068274,0.0
