dataset,component_id,representation,predictor,mapping_combinations_evaluated,chosen_mapping_nap,minimum_mapping_nap,maximum_mapping_nap,mapping_nap_range
CHEMBL237_EC50,54,morgan,xgboost,2,0.05165235466959607,0.05165235466959607,0.09778465468120642,0.04613230001161035
CHEMBL237_EC50,54,morgan,mlp,2,0.3506198000536769,0.3506198000536769,0.5187692901234568,0.16814949006977997
CHEMBL237_EC50,54,molformer,xgboost,2,0.44642957351290685,0.44642957351290685,0.6515467171717172,0.20511714365881034
CHEMBL237_EC50,54,molformer,mlp,2,0.17107451145441338,0.17107451145441338,0.19378390385334826,0.02270939239893488
CHEMBL237_EC50,54,unimol,xgboost,2,0.2401199494949495,0.2401199494949495,0.2467171717171717,0.006597222222222199
CHEMBL237_EC50,54,unimol,mlp,2,0.4261083052749719,0.4261083052749719,0.6246913580246914,0.19858305274971955
CHEMBL237_Ki,161,morgan,xgboost,9,0.24454738486601238,0.147856125266256,0.24454738486601238,0.09669125959975639
CHEMBL237_Ki,161,morgan,mlp,9,0.46622150997150996,0.45951155326155324,0.507226800976801,0.04771524771524771
CHEMBL237_Ki,161,molformer,xgboost,9,0.09801321230918932,0.07368330743330742,0.1267115600448934,0.053028252611585974
CHEMBL237_Ki,161,molformer,mlp,9,0.09052555025281381,0.08472682223186356,0.11660294408538342,0.03187612185351986
CHEMBL237_Ki,161,unimol,xgboost,9,0.05408725611576491,0.040803211299534854,0.05729964032660112,0.016496429027066266
CHEMBL237_Ki,161,unimol,mlp,9,0.39452640140140144,0.3659479916424361,0.39452640140140144,0.028578409758965362
CHEMBL238_Ki,52,morgan,xgboost,3,0.10298534798534799,0.09904761904761902,0.10810439560439561,0.009056776556776586
CHEMBL238_Ki,52,morgan,mlp,3,0.09620370370370371,0.08767195767195765,0.10132275132275131,0.013650793650793663
CHEMBL238_Ki,52,molformer,xgboost,3,0.15876984126984126,0.11952380952380952,0.15876984126984126,0.03924603174603174
CHEMBL238_Ki,52,molformer,mlp,3,0.16303571428571426,0.10629960317460316,0.16303571428571426,0.0567361111111111
CHEMBL238_Ki,52,unimol,xgboost,3,0.25890151515151516,0.11954966329966328,0.281523569023569,0.16197390572390574
CHEMBL238_Ki,52,unimol,mlp,3,0.11663614163614161,0.08677503052503052,0.12713675213675213,0.04036172161172161
CHEMBL239_EC50,35,morgan,xgboost,2,-0.002022729984488721,-0.006313670995673565,-0.002022729984488721,0.004290941011184844
CHEMBL239_EC50,35,morgan,mlp,2,-0.002099436324973834,-0.002099436324973834,0.001695946516184514,0.0037953828411583478
CHEMBL239_EC50,35,molformer,xgboost,2,-0.0030441336054147132,-0.0030441336054147132,-0.0005125686130942723,0.002531564992320441
CHEMBL239_EC50,35,molformer,mlp,2,0.00039793965625167305,0.00039793965625167305,0.000879619050727951,0.00048167939447627797
CHEMBL239_EC50,35,unimol,xgboost,2,0.023348787557145964,0.023348787557145964,0.2595238095238095,0.2361750219666635
CHEMBL239_EC50,35,unimol,mlp,2,0.011668281364995278,0.011668281364995278,0.021115256635909053,0.009446975270913776
CHEMBL239_EC50,115,morgan,xgboost,2,0.03052873563218391,0.012597701149425284,0.03052873563218391,0.017931034482758627
CHEMBL239_EC50,115,morgan,mlp,2,0.033004926108374376,0.03069124423963133,0.033004926108374376,0.0023136818687430442
CHEMBL239_EC50,115,molformer,xgboost,2,1.0,0.8266666666666665,1.0,0.17333333333333345
CHEMBL239_EC50,115,molformer,mlp,2,0.5377777777777778,0.5216000000000001,0.5377777777777778,0.016177777777777735
CHEMBL239_EC50,115,unimol,xgboost,2,0.545,0.532,0.545,0.013000000000000012
CHEMBL239_EC50,115,unimol,mlp,2,0.06977777777777777,0.06673684210526315,0.06977777777777777,0.003040935672514622
CHEMBL244_Ki,2,morgan,xgboost,2,0.01765425468432985,0.0012422310354641077,0.01765425468432985,0.016412023648865744
