draw,unadjusted_boundary_extended,null_adjusted_boundary_extended,null_adjusted_strict_unmatched,null_adjusted_boundary_prevalence_le_0_8
135,-0.0133100233100231,-0.017482160006885406,-0.012051713176130265,-0.013093400391314791
136,-0.01560873443134465,-0.01298381109071738,-0.007791496096139532,-0.004243351665261352
137,-0.0078193645503206,-0.0030470087335310175,-0.010160437207696195,-0.01222048612232155
138,-0.0098792818401802,-0.006352813801172516,-0.009773482735064652,-0.008317338515946767
139,-0.0043671326555313,-0.0035533011396192337,-0.008669471153846198,-0.008043956043956062
140,-0.00970968417624805,-0.007637205265494742,-0.004899897104529448,-0.007785551595670664
141,-0.0043413834473464,-0.00815608080478621,-0.010665116669204219,-0.010602787788341197
142,-0.008521127205708,-0.013744340393176159,-0.013176041666666638,-0.015320398004773028
143,-0.0109220354160324,-0.012927004811181184,-0.01569734968314511,-0.008317338515946767
144,-0.00842977660425725,-0.003786395026206006,-0.01569734968314511,-0.003866650724444254
145,0.0,-0.011902777777777769,-0.01194869035760986,-0.012865026124146832
146,-0.014565491387279599,-0.007390584723918047,-0.012044985199461388,-0.004938491472978097
147,-0.0043004754888574005,-0.008813962350952144,-0.0122512364224374,-0.006371185952941311
148,0.0,-0.0096354806320136,-0.010374420121725687,-0.011172720579052416
149,-0.0100048925356712,-0.0065746267414237974,-0.016782555995400586,-0.003805554374527592
150,-0.0039528276114929,-0.0042691326530611695,-0.015384609571336142,-0.012399030106549047
151,-0.0060353248018778,-0.0035533011396192337,-0.011039101986546949,-0.012407024493032172
152,-0.0107581954538049,-0.014261143969831736,-0.013176041666666638,-0.008402729393850103
153,-0.0078193645503206,-0.0033655515414565684,-0.015882239050335843,-0.01576845069243632
154,-0.00507829069038625,-0.009784624139016568,-0.014153056692664943,-0.008864084803434757
155,-0.0076951951951952,-0.008647990475847134,-0.011736128869992266,-0.0032839120788931697
156,-0.0023898164857300997,-0.007695296241535895,-0.009926051902242376,-0.010132992354683653
157,-6.106226635438361e-16,-0.010658876238126645,-0.0023366432830088293,-0.013891822991822955
158,-0.0093831470988094,-0.012358375420875348,-0.01824153297443045,-0.010364110367297452
159,-0.0021814111682444,-0.014924433163980544,-0.010701873295239517,-0.0034741512345679085
160,-0.0014380882134505,-0.004551644523502631,-0.008758783384080121,-0.008402729393850103
161,-0.0134637188208616,-0.00909795772632111,-0.013860044919997254,-0.010224629458886983
