dataset,component_id,left_index,right_index,representation,predictor,trained_ap,trained_nap,permuted_ap,permuted_nap,prevalence,delta_ap,delta_nap
CHEMBL1871_Ki,35,574,576,morgan,xgboost,0.2506836558641698,-0.0340565549074455,0.2623914421637457,-0.0178998098140308,0.2753623188405797,-0.0117077862995758,-0.0161567450934146
CHEMBL1871_Ki,35,574,576,unimol,mlp,0.311918040858118,0.0504468963842028,0.2968619464166077,0.0296694860549186,0.2753623188405797,0.0150560944415102,0.0207774103292842
CHEMBL1871_Ki,35,574,576,unimol,xgboost,0.3460751261576264,0.0975836740975244,0.3395330227785574,0.0885555714344092,0.2753623188405797,0.006542103379069,0.0090281026631152
CHEMBL1871_Ki,37,597,605,molformer,mlp,0.235749297861099,0.0031512580796944,0.2137318115990019,-0.0255672022621713,0.2333333333333333,0.0220174862620971,0.0287184603418657
CHEMBL1871_Ki,37,597,605,molformer,xgboost,0.2385131814738439,0.0067563236615356,0.2431402638219502,0.0127916484634134,0.2333333333333333,-0.0046270823481062,-0.0060353248018778
CHEMBL1871_Ki,37,597,605,morgan,mlp,0.2598539672413186,0.0345921311843287,0.234531180955666,0.0015624099421731,0.2333333333333333,0.0253227862856526,0.0330297212421555
CHEMBL1871_Ki,37,597,605,morgan,xgboost,0.2136320495451538,-0.025697326680234,0.2684537119963922,0.0458091895605116,0.2333333333333333,-0.0548216624512383,-0.0715065162407456
CHEMBL1871_Ki,37,597,605,unimol,mlp,0.244409828497202,0.0144476023876548,0.2500530507232044,0.0218083270302665,0.2333333333333333,-0.0056432222260023,-0.0073607246426116
CHEMBL1871_Ki,37,597,605,unimol,xgboost,0.2042909752700533,-0.0378813366042781,0.3012291209176485,0.0885597229360631,0.2333333333333333,-0.0969381456475951,-0.1264410595403413
CHEMBL1871_Ki,38,602,609,molformer,mlp,0.5353235890071639,0.4280905710857401,0.5416768227042995,0.4359099356360608,0.1875,-0.0063532336971355,-0.0078193645503206
CHEMBL1871_Ki,38,602,609,molformer,xgboost,0.474957559829495,0.3537939197901477,0.3834201174580764,0.241132452256094,0.1875,0.0915374423714185,0.1126614675340536
CHEMBL1871_Ki,38,602,609,morgan,mlp,0.7378139953177323,0.6773095326987475,0.3717257329110792,0.2267393635828666,0.1875,0.3660882624066531,0.4505701691158809
CHEMBL1871_Ki,38,602,609,morgan,xgboost,0.2100674010716476,0.0277752628574124,0.3547155005488339,0.2058036929831801,0.1875,-0.1446480994771862,-0.1780284301257677
CHEMBL1871_Ki,38,602,609,unimol,mlp,0.735691956515594,0.6746977926345773,0.4179199014593527,0.2835937248730494,0.1875,0.3177720550562413,0.3911040677615278
CHEMBL1871_Ki,38,602,609,unimol,xgboost,0.5353757099812771,0.4281547199769564,0.5516482590774875,0.4481824727107539,0.1875,-0.0162725490962103,-0.0200277527337974
CHEMBL2034_Ki,1,14,69,molformer,mlp,0.6412240537240538,0.5788282369804109,0.5897600867269985,0.518414014853433,0.1481481481481481,0.0514639669970552,0.0604142221269778
CHEMBL2034_Ki,1,14,69,molformer,xgboost,0.4553183200242023,0.3605910713327592,0.5530360298742653,0.4753031655045721,0.1481481481481481,-0.0977177098500629,-0.1147120941718129
CHEMBL2034_Ki,1,14,69,morgan,mlp,0.8764339826839826,0.8549442405420665,0.5321975886314121,0.4508406475238316,0.1481481481481481,0.3442363940525705,0.4041035930182349
CHEMBL2034_Ki,1,14,69,morgan,xgboost,0.3785934744268077,0.2705227743271221,0.2343983766777884,0.1012502682739255,0.1481481481481481,0.1441950977490193,0.1692725060531965
CHEMBL2034_Ki,1,14,69,unimol,mlp,0.763209706959707,0.7220287864309604,0.6901778980823098,0.6362957934009724,0.1481481481481481,0.0730318088773972,0.0857329930299879
CHEMBL2034_Ki,1,14,69,unimol,xgboost,0.7300429894179894,0.683093944099379,0.605145202020202,0.5364748023715414,0.1481481481481481,0.1248977873977873,0.1466191417278375
CHEMBL2034_Ki,3,49,104,molformer,mlp,0.2021094724484554,0.0192595598845598,0.1928248973744067,0.0078472696893749,0.1864406779661017,0.0092845750740487,0.0114122901951848
CHEMBL2034_Ki,3,49,104,molformer,xgboost,0.1895997599387429,0.0038830382580382,0.1784605646113228,-0.0098088893319156,0.1864406779661017,0.0111391953274201,0.0136919275899539
CHEMBL2034_Ki,3,49,104,morgan,mlp,0.2353706557096387,0.0601430976430975,0.2482013435403265,0.0759141514349847,0.1864406779661017,-0.0128306878306877,-0.0157710537918871
CHEMBL2034_Ki,3,49,104,morgan,xgboost,0.1959526662916493,0.0116918189834856,0.1797664422998945,-0.0082037480063795,0.1864406779661017,0.0161862239917547,0.0198955669898651
CHEMBL2034_Ki,3,49,104,unimol,mlp,0.2238266441656272,0.0459535834535833,0.2641126208152402,0.0954717630853993,0.1864406779661017,-0.0402859766496129,-0.0495181796318159
CHEMBL2034_Ki,3,49,104,unimol,xgboost,0.1801647505037335,-0.0077141608391608,0.2079592871217995,0.0264499570872119,0.1864406779661017,-0.027794536618066,-0.0341641179263728
CHEMBL2034_Ki,8,109,114,molformer,mlp,0.2073232323232322,0.145152505446623,0.2420454545454545,0.1825980392156863,0.0727272727272727,-0.0347222222222222,-0.0374455337690632
CHEMBL2034_Ki,8,109,114,molformer,xgboost,0.1153093434343433,0.0459218409586056,0.1514204545454545,0.0848651960784313,0.0727272727272727,-0.0361111111111111,-0.0389433551198257
CHEMBL2034_Ki,8,109,114,morgan,mlp,0.1557359307359307,0.0895191409897292,0.0812528480291637,0.0091942478745883,0.0727272727272727,0.0744830827067669,0.0803248931151408
CHEMBL2034_Ki,8,109,114,morgan,xgboost,0.0690417135753822,-0.0039746226147837,0.1499999999999999,0.0833333333333333,0.0727272727272727,-0.0809582864246177,-0.087307955948117
CHEMBL2034_Ki,8,109,114,unimol,mlp,0.0817279942279941,0.0097066604419545,0.3045454545454545,0.25,0.0727272727272727,-0.2228174603174603,-0.2402933395580455
CHEMBL2034_Ki,8,109,114,unimol,xgboost,0.2295454545454545,0.1691176470588234,0.1609557109557109,0.095148315736551,0.0727272727272727,0.0685897435897436,0.0739693313222724
CHEMBL2034_Ki,9,165,172,molformer,mlp,0.2317200546367213,0.060991177889326,0.2524577193436843,0.0863372125311696,0.1818181818181818,-0.0207376647069629,-0.0253460346418436
CHEMBL2034_Ki,9,165,172,molformer,xgboost,0.2293749987828935,0.0581249985124254,0.2758396008589506,0.1149150677164952,0.1818181818181818,-0.0464646020760571,-0.0567900692040698
CHEMBL2034_Ki,9,165,172,morgan,mlp,0.2708777120187079,0.1088505369117541,0.300967011383678,0.1456263472467176,0.1818181818181818,-0.0300892993649701,-0.0367758103349635
CHEMBL2034_Ki,9,165,172,morgan,xgboost,0.2914406743354111,0.133983046409947,0.3737689393939394,0.2346064814814815,0.1818181818181818,-0.0823282650585282,-0.1006234350715345
CHEMBL2034_Ki,9,165,172,unimol,mlp,0.2962076413056805,0.1398093393736095,0.3464276282903733,0.2011893234660119,0.1818181818181818,-0.0502199869846928,-0.0613799840924023
CHEMBL2034_Ki,9,165,172,unimol,xgboost,0.2547247686953569,0.0891080506276584,0.2838420167819033,0.1246957982889928,0.1818181818181818,-0.0291172480865464,-0.0355877476613344
CHEMBL2034_Ki,16,251,256,molformer,mlp,0.1903285599182841,0.0258640486516856,0.1546924192637954,-0.0170106830732461,0.1688311688311688,0.0356361406544887,0.0428747317249317
CHEMBL2034_Ki,16,251,256,molformer,xgboost,0.3636834605459329,0.2344316634693255,0.2722541461148442,0.1244307695444219,0.1688311688311688,0.0914293144310887,0.1100008939249036
CHEMBL2034_Ki,16,251,256,morgan,mlp,0.1594408970755977,-0.0112976707059213,0.3353618113680508,0.2003571793021862,0.1688311688311688,-0.175920914292453,-0.2116548500081075
CHEMBL2034_Ki,16,251,256,morgan,xgboost,0.1540734613378283,-0.0177553668279252,0.265418041223828,0.1162060808474181,0.1688311688311688,-0.1113445798859996,-0.1339614476753433
CHEMBL2034_Ki,16,251,256,unimol,mlp,0.2090636258368784,0.0484046748349943,0.2875270219676649,0.1428059483048469,0.1688311688311688,-0.0784633961307865,-0.0944012734698526
CHEMBL2034_Ki,16,251,256,unimol,xgboost,0.3434152000419763,0.2100464125505026,0.1984269017275136,0.0356073661409147,0.1688311688311688,0.1449882983144626,0.1744390464095878
CHEMBL2034_Ki,20,300,301,molformer,mlp,0.2444444444444444,0.0058479532163743,0.3481481481481481,0.1423001949317738,0.24,-0.1037037037037036,-0.1364522417153995
CHEMBL2034_Ki,20,300,301,molformer,xgboost,0.3527777777777777,0.148391812865497,0.2405555555555555,0.0007309941520468,0.24,0.1122222222222221,0.1476608187134502
CHEMBL2034_Ki,20,300,301,morgan,mlp,0.2449735449735449,0.0065441381230855,0.2488756613756613,0.0116785018100807,0.24,-0.0039021164021163,-0.0051343636869952
CHEMBL2034_Ki,20,300,301,morgan,xgboost,0.2836640211640211,0.0574526594263435,0.2414814814814815,0.0019493177387914,0.24,0.0421825396825396,0.0555033416875521
CHEMBL2034_Ki,20,300,301,unimol,mlp,0.261574074074074,0.02838693957115,0.2708994708994709,0.0406571985519354,0.24,-0.0093253968253969,-0.0122702589807853
CHEMBL2034_Ki,20,300,301,unimol,xgboost,0.2759259259259259,0.047270955165692,0.2946296296296296,0.0718810916179337,0.24,-0.0187037037037036,-0.0246101364522417
CHEMBL2034_Ki,31,488,490,molformer,mlp,0.3867367322638611,0.2881765642348388,0.3661912102166504,0.2643290832871834,0.1384615384615384,0.0205455220472106,0.0238474809476553
